var,id_entidad,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
acci,01,193.0,102.0,108.0,60.0,63.0,55.0,53.0,61.0,49.0,38.0,62.0,68.0,61.0,67.0,62.0,60.0,49.0,84.0,72.0,70.0,64.0,74.0,84.0,69.0,76.0,76.0
acci,02,344.0,443.0,639.0,241.0,47.0,114.0,137.0,131.0,129.0,130.0,100.0,94.0,98.0,99.0,104.0,102.0,118.0,77.0,100.0,60.0,57.0,60.0,56.0,93.0,138.0,128.0
acci,03,21.0,15.0,14.0,19.0,34.0,26.0,19.0,20.0,34.0,36.0,73.0,90.0,31.0,42.0,46.0,30.0,27.0,25.0,29.0,40.0,39.0,26.0,35.0,31.0,32.0,28.0
acci,04,15.0,17.0,25.0,18.0,14.0,30.0,25.0,24.0,33.0,33.0,38.0,35.0,31.0,27.0,30.0,35.0,28.0,28.0,34.0,46.0,31.0,24.0,34.0,29.0,31.0,42.0
acci,05,87.0,87.0,95.0,61.0,66.0,78.0,67.0,63.0,49.0,79.0,111.0,67.0,98.0,96.0,99.0,95.0,82.0,97.0,82.0,69.0,96.0,94.0,83.0,72.0,83.0,90.0
acci,06,33.0,31.0,34.0,52.0,39.0,27.0,36.0,56.0,41.0,46.0,41.0,43.0,27.0,40.0,152.0,46.0,35.0,40.0,38.0,33.0,28.0,22.0,14.0,27.0,39.0,33.0
acci,07,98.0,77.0,68.0,77.0,81.0,83.0,94.0,80.0,87.0,99.0,115.0,109.0,131.0,107.0,125.0,105.0,86.0,104.0,93.0,77.0,77.0,78.0,68.0,57.0,76.0,69.0
acci,08,260.0,181.0,238.0,315.0,352.0,370.0,363.0,350.0,251.0,278.0,252.0,457.0,463.0,478.0,410.0,298.0,265.0,235.0,317.0,286.0,268.0,270.0,263.0,263.0,295.0,303.0
acci,09,612.0,246.0,310.0,266.0,272.0,240.0,282.0,225.0,279.0,331.0,315.0,271.0,275.0,316.0,313.0,315.0,342.0,291.0,200.0,220.0,193.0,223.0,220.0,142.0,167.0,245.0
acci,10,91.0,73.0,116.0,103.0,91.0,89.0,101.0,99.0,122.0,141.0,127.0,133.0,140.0,118.0,137.0,126.0,128.0,122.0,125.0,117.0,111.0,104.0,112.0,83.0,98.0,89.0
acci,11,199.0,418.0,137.0,159.0,158.0,166.0,165.0,127.0,162.0,156.0,197.0,194.0,148.0,128.0,132.0,143.0,115.0,120.0,159.0,186.0,164.0,188.0,192.0,163.0,144.0,200.0
acci,12,44.0,40.0,42.0,50.0,52.0,53.0,60.0,63.0,59.0,68.0,64.0,59.0,74.0,79.0,55.0,68.0,66.0,72.0,35.0,58.0,47.0,56.0,52.0,41.0,69.0,97.0
acci,13,59.0,55.0,51.0,59.0,79.0,68.0,95.0,81.0,97.0,79.0,79.0,86.0,83.0,67.0,86.0,59.0,61.0,60.0,66.0,31.0,34.0,36.0,21.0,24.0,20.0,29.0
